Title,IMDb Rating,Year,Certificates,Director,Star Cast,Duration (minutes),Star Cast Lower,Star Cast List,Star Cast List Clean,Genres,Action,Adventure,Animation,Biography,Comedy,Crime,Documentary,Drama,Family,Fantasy,History,Horror,Music,Musical,Mystery,Reality-TV,Romance,Sci-Fi,Sport,Thriller,Western
"are you there god? it's me, margaret.",0.6071428571428572,0.9814814814814814,PG-13,kelly fremon craig,Abby Ryder Fortson,0.22140221402214022,abby ryder fortson,['abby ryder fortson'],['abby ryder fortson'],"['Comedy', 'Drama', 'Family']",0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
peter pan,0.5178571428571429,0.7962962962962963,PG,p.j. hogan,Jeremy Sumpter,0.24723247232472326,jeremy sumpter,['jeremy sumpter'],['jeremy sumpter'],"['Adventure', 'Family', 'Fantasy']",0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
robin hood,0.642857142857143,0.5185185185185185,G,wolfgang reitherman,Brian Bedford,0.13653136531365315,brian bedford,['brian bedford'],['brian bedford'],"['Animation', 'Adventure', 'Comedy']",0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
shrek the third,0.3928571428571429,0.8333333333333334,PG,chris miller,Mike Myers,0.17343173431734318,mike myers,['mike myers'],['mike myers'],"['Animation', 'Adventure', 'Comedy']",0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
anastasia,0.5714285714285715,0.7407407407407407,G,don bluth,Meg Ryan,0.1771217712177122,meg ryan,['meg ryan'],['meg ryan'],"['Animation', 'Adventure', 'Drama']",0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
maleficent,0.5357142857142859,0.8981481481481481,PG,robert stromberg,Angelina Jolie,0.1881918819188192,angelina jolie,['angelina jolie'],['angelina jolie'],"['Action', 'Adventure', 'Drama']",1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
spy kids,0.3035714285714286,0.7777777777777778,PG,robert rodriguez,"Alexa Pena, Vega",0.15498154981549817,"alexa pena, vega","['alexa pena', 'vega']","['alexa pena', 'vega']","['Action', 'Adventure', 'Comedy']",1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
robots,0.4464285714285716,0.8148148148148148,PG,chris wedge,"Ewan Mc, Gregor",0.1660516605166052,"ewan mc, gregor","['ewan mc', 'gregor']","['ewan mc', 'gregor']","['Animation', 'Adventure', 'Comedy']",0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rango,0.6071428571428572,0.8703703703703703,PG,gore verbinski,Johnny Depp,0.22509225092250923,johnny depp,['johnny depp'],['johnny depp'],"['Animation', 'Action', 'Adventure']",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sister act,0.4642857142857144,0.6944444444444444,PG,emile ardolino,Whoopi Goldberg,0.19926199261992622,whoopi goldberg,['whoopi goldberg'],['whoopi goldberg'],"['Comedy', 'Family', 'Music']",0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
return to oz,0.5000000000000001,0.6296296296296295,PG,walter murch,Fairuza Balk,0.24723247232472326,fairuza balk,['fairuza balk'],['fairuza balk'],"['Adventure', 'Family', 'Fantasy']",0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
garfield: the movie,0.1964285714285715,0.8055555555555556,PG,peter hewitt,Breckin Meyer,0.12546125461254615,breckin meyer,['breckin meyer'],['breckin meyer'],"['Adventure', 'Comedy', 'Family']",0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
ice age: collision course,0.3214285714285715,0.9166666666666666,PG,michael thurmeier,Ray Romano,0.1771217712177122,ray romano,['ray romano'],['ray romano'],"['Animation', 'Adventure', 'Comedy']",0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lightyear,0.3928571428571429,0.9722222222222222,PG,angus maclane,Chris Evans,0.21771217712177124,chris evans,['chris evans'],['chris evans'],"['Animation', 'Action', 'Adventure']",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
the parent trap,0.5892857142857144,0.40740740740740744,G,david swift,Hayley Mills,0.3062730627306273,hayley mills,['hayley mills'],['hayley mills'],"['Comedy', 'Family', 'Romance']",0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
the little mermaid,0.6607142857142858,0.6666666666666666,G,ron clements,Jodi Benson,0.13653136531365315,jodi benson,['jodi benson'],['jodi benson'],"['Animation', 'Adventure', 'Family']",0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
the emperor's new groove,0.6250000000000002,0.7685185185185185,G,mark dindal,David Spade,0.11808118081180813,david spade,['david spade'],['david spade'],"['Animation', 'Adventure', 'Comedy']",0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
the little rascals,0.42857142857142866,0.7129629629629629,PG,penelope spheeris,Travis Tedford,0.13284132841328417,travis tedford,['travis tedford'],['travis tedford'],"['Comedy', 'Family', 'Romance']",0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
the princess diaries : royal engagement,0.33928571428571436,0.8055555555555556,G,garry marshall,Anne Hathaway,0.24723247232472326,anne hathaway,['anne hathaway'],['anne hathaway'],"['Comedy', 'Family', 'Romance']",0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
pee-wee's big adventure,0.5535714285714287,0.6296296296296295,PG,tim burton,Paul Reubens,0.1660516605166052,paul reubens,['paul reubens'],['paul reubens'],"['Adventure', 'Comedy', 'Family']",0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
miss peregrine's home for peculiar children,0.5000000000000001,0.9166666666666666,PG-13,tim burton,Eva Green,0.2988929889298893,eva green,['eva green'],['eva green'],"['Adventure', 'Drama', 'Family']",0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
